	TCGA-BG-A3EW-11A-22R-A22K-07	TCGA-AX-A2HA-11A-11R-A18M-07	TCGA-AX-A05Y-11A-11R-A27V-07	TCGA-AJ-A3NH-11A-11R-A22K-07	TCGA-BG-A3PP-11A-11R-A22K-07	TCGA-AX-A1CI-11A-11R-A137-07	TCGA-AX-A0IZ-11A-11R-A27V-07	TCGA-BK-A13C-11A-11R-A118-07	TCGA-BK-A0CB-11A-33R-A104-07	TCGA-AX-A2HD-11A-11R-A32Y-07	TCGA-AX-A1CK-11A-11R-A137-07	TCGA-AX-A0J0-11A-11R-A27V-07	TCGA-BK-A4ZD-11A-12R-A27V-07	TCGA-DI-A2QU-11A-11R-A18M-07	TCGA-AJ-A3NE-11A-11R-A22K-07	TCGA-BG-A2AD-11A-11R-A16F-07	TCGA-AJ-A3NC-11A-11R-A22K-07	TCGA-E6-A1M0-11A-11R-A144-07	TCGA-AX-A2H8-11A-11R-A17B-07	TCGA-AX-A2HC-11A-11R-A32Y-07	TCGA-AX-A1CF-11A-11R-A137-07	TCGA-DI-A2QY-11A-11R-A19W-07	TCGA-AJ-A2QL-11A-11R-A18M-07	TCGA-BG-A3EW-01A-11R-A22K-07	TCGA-AX-A2HA-01A-12R-A18M-07	TCGA-AX-A05Y-01A-11R-A00V-07	TCGA-AJ-A3NH-01A-11R-A22K-07	TCGA-BG-A3PP-01A-11R-A22K-07	TCGA-AX-A1CI-01A-11R-A137-07	TCGA-AX-A0IZ-01A-11R-A118-07	TCGA-BK-A13C-01A-11R-A118-07	TCGA-BK-A0CB-01A-32R-A104-07	TCGA-AX-A2HD-01A-21R-A17B-07	TCGA-AX-A1CK-01A-11R-A137-07	TCGA-AX-A0J0-01A-11R-A109-07	TCGA-BK-A4ZD-01A-11R-A27V-07	TCGA-DI-A2QU-01A-11R-A18M-07	TCGA-AJ-A3NE-01A-11R-A22K-07	TCGA-BG-A2AD-01A-21R-A16F-07	TCGA-AJ-A3NC-01A-11R-A22K-07	TCGA-E6-A1M0-01A-11R-A144-07	TCGA-AX-A2H8-01A-11R-A17B-07	TCGA-AX-A2HC-01A-11R-A17B-07	TCGA-AX-A1CF-01A-11R-A137-07	TCGA-DI-A2QY-01A-12R-A19W-07	TCGA-AJ-A2QL-01A-11R-A18M-07
ENSG00000005812.11|FBXL3	3.71432245934988	3.01294404716608	4.41939056944617	3.4710573647973	3.68497578756288	3.68428015054813	4.31196078756571	3.54256760776422	3.16939591625577	3.35921190802592	3.46391013022569	4.11614014992072	3.39421229133431	3.37245068818818	3.39784402470432	3.37094541257664	3.88960982307513	4.0227495218308	4.24828434650511	3.57603833676208	3.12510552490931	3.31379727970598	2.90825570086597	2.3048322539324	1.97294992699427	1.42996404351695	2.09868904409133	2.41302534051652	1.62690633069132	1.79198072666678	2.39626911219094	1.31004922535138	2.04603698158843	0.889317777572969	2.53104453238822	2.42166765492975	1.13927301842308	2.18138883448332	2.48465374773357	2.47233179600004	1.99356568006453	3.0738373673353	2.51969285884056	2.51434953776626	2.54230758351024	2.94703022104627
ENSG00000005882.12|PDK2	3.32259158201583	2.34823241923927	2.74209246808125	3.22462686740113	3.96534102065669	3.73609610844519	3.47989017946406	3.60054332573822	4.37733201538217	3.47788452202795	3.09578942467319	3.02816245289282	2.6851552523565	2.93971554402365	2.17232749165762	2.93962152491338	2.77017360711176	4.2744629534985	3.08062355667633	2.99055556878303	4.06664893366482	2.50596712639948	3.05606323201852	2.36179642714303	0.785341298705182	2.80308234629581	3.00331438850668	1.7654498794527	1.05693028838267	1.62208697098852	2.48042024221384	1.97588693600594	2.70628741224307	1.55040819321728	2.62009369875064	1.54404019395511	1.67179154848281	2.11656437780331	2.50327240007709	1.29801306375154	0.945382966824365	1.27964957855709	2.23581894831558	4.22483520494374	1.01392670604292	2.38565191139166
ENSG00000006118.15|TMEM132A	0.884558849505252	1.9789277763814	1.79734507084351	1.82806283979536	2.3310172360181	1.65480212578979	1.6955484681331	1.58366349054205	1.69148949874663	2.05224198118114	2.61974165876918	2.91542529155076	2.57131275351758	3.01804657995949	3.47957980843963	1.82277093026678	1.43541524074781	2.02934686633434	1.55045744792584	1.68068442299448	1.71325590173097	2.30000654660916	1.85949254539278	4.75103517666786	5.08329848049	6.11569707294001	5.68442042694443	6.97265015360397	5.51258087867397	5.06491302235352	4.95139196588437	6.13155861848904	5.69267826410154	5.10195676745087	5.04663074794016	5.19018419966288	4.61729848284085	5.18351430413474	4.66317950275037	4.23608692295106	4.26515931258419	4.94087617521896	5.26811620500751	4.33413202614306	4.66124794353007	5.15364727936904
ENSG00000006377.11|DLX6	0.190425227369271	0.0673633671196102	0.3415303869973	0.431997289840723	0.228972569760161	0.0325240656921994	0.2368293354864	0.037030730944967	0.100708588596684	0.242084170550013	0.0633648787584294	3.38854775505888	2.15072213308598	1.83098541248308	2.4848341699923	0.126972856257766	0.472903623606832	0.341302652973009	0.0869196067373263	0.0297002342154199	0.146524891477442	0.314986485468515	0.0224743465748992	3.87361636432633	3.91936868814072	4.16046846875415	4.75641488144124	4.70530338082441	4.66852763372243	4.46780767624519	0.0758748669751276	2.71211149946628	5.89578973952987	4.0677333562178	2.55532535898925	5.27024112217451	3.09271486352265	3.89197321534021	3.39850087127264	4.32395365879414	2.06529656712778	4.0887945976893	5.0860873822709	2.0977793259229	3.90251741719792	4.25687479324169
ENSG00000006453.14|BAIAP2L1	0.699551632523089	2.51399597936701	1.28989346990302	3.0715224289064	0.54794331129035	3.25972443557391	0.998989759846058	0.715278392291103	0.902343757764018	2.27607972757473	3.62556273996637	1.57284117365458	1.53754457196457	1.2051422406253	2.52466550921744	1.02637515406648	0.7530054281952	0.566961242314489	0.895923001923769	0.825867018401085	2.99680450089617	3.62360938194304	3.54387939630812	2.90247882801906	3.11742908358689	4.07531869255335	2.72406085079759	3.29548794305975	3.61006218757607	3.76391080080123	3.86295716341668	3.07601173856964	3.71273883235938	3.95480118471343	3.49692246600807	3.36918727036538	3.44682525423396	3.72589381456884	3.52578074483756	3.35980226054848	2.64793612766145	3.4885407160531	0.145481822265525	4.75572081858552	3.21403152464067	3.11326709221423
ENSG00000006625.18|GGCT	2.98101235834619	3.61547515274644	3.11365049731485	3.93280765604355	2.56010351346474	3.40718957187911	2.88635504352516	2.59344938968665	2.65745708457351	3.50600522322515	3.84720521083918	3.26961669135395	3.19589874113931	2.96556266968334	3.69810732640488	3.14278917587081	3.1511119540897	2.81631298208197	2.91107794652124	3.05220719607123	3.37295209791183	3.97205846394706	4.21748665554043	4.43063319086565	5.40182840037643	4.52945866592719	5.58487232946322	5.38077792534503	5.0311569625283	5.66631917314614	4.73863815051839	4.53396196534515	5.05935527761642	5.87818582370368	5.77488718838497	4.51333282374013	5.32564545475799	5.15817946618175	5.16950014535117	5.00243249603972	5.5489297694764	4.95238948369846	4.43370060179817	4.97570813299184	5.96953272621916	4.95830910414378
ENSG00000007062.12|PROM1	0.628633634164697	2.23192387329376	1.20626812452098	1.83604530403814	0.102993993323326	2.42384705459843	0.0196307563355084	0.0427843980892395	0.12300395405482	0.335368915103673	4.34578666216245	3.72861713524719	1.45680614923047	1.47118746038699	3.32439299651651	0.877430159697745	0.412618958991931	0.0251705757349061	0.0959919129246028	0.0409625477784978	1.35049724708413	2.58868465719203	2.98733905869022	4.66555194992226	1.88647210897084	3.1646897520525	3.0613960362351	1.68710549183801	3.695292332508	3.19945248884068	3.15073837773094	3.08389412562431	5.99972946931679	2.58238739774835	4.22346116545242	0.655351828612554	0.709643545470932	3.71390472659003	3.59581393546662	5.67359034275382	2.60264690850537	3.57845572177957	3.26937731687161	0.899948986189672	2.2654368960491	0.86298690919509
ENSG00000007908.16|SELE	5.94553981776384	6.18102898256535	1.11163231012328	3.09332353854424	0.247562997071354	1.07361460889421	0.487486349348536	0.349138777077085	4.04795710739666	0.529970829136579	0.275960580278064	0.575021825929422	0.733093981174815	0.416299305479879	6.38544656851586	4.80927551898046	1.74131596742751	0.252173413202027	0.733180772875301	0.579759427412543	0.239642441878997	0.0938305716351355	0.220825215797872	0.254231207375223	0.814099190274553	0.108357178090419	0.139600464585515	0.0311128408502493	0.0578314745605733	0.481608942990055	0.057415612427243	0.160274831408593	0.095586907997724	0.573180602789373	0.128029388740641	0.204891924837234	0.0427843980892395	0.455228571117139	0.178109076094325	0.850319378187307	0.13224779829844	0.242815884026842	0.0629506088228079	0.211012193485512	0.0746424379344928	0.0641930619274924
ENSG00000007968.7|E2F2	0.0831112269313071	0.293958979028694	0.0622598944701261	0.24938465863022	0.031959741397545	0.13842131042025	0.0399805976908813	0.0465609057577412	0.115699153431586	0.41186007373782	0.539133990334676	0.10715219863491	0.530070742225084	0.0905824763624423	0.106616328987784	0.0874628412503394	0.0434844976035795	0.0114956388378294	0.119289768374751	0.172231468825481	0.275960580278064	0.134220939760633	0.174917695239588	1.75150656861484	2.12730310578213	1.94990839795332	1.35162832910278	1.47326739592964	0.881116408511902	1.49426198783989	1.1816750614149	0.969675463143203	3.15508536253591	1.59512169199617	1.91865337546014	2.03843618165611	2.3461342832834	2.23753312649544	2.51999471998846	0.995014096471404	1.82089374922857	2.13267554134906	3.37944075253498	2.55892881980749	1.17747136444495	1.02962956756306
ENSG00000008283.16|CYB561	2.9575432007571	3.94549533937892	2.64853446984682	5.59954691642339	2.4843443999286	5.79067821793742	2.76809961359032	2.56335340585531	2.36720330065725	4.29159619130914	5.3858313467817	3.81365807598722	3.41964675253143	3.18529569588892	3.76241260325565	3.19441805212167	2.30024089301226	2.99909803370561	2.53159356008728	3.1300247836709	5.23988680079572	6.09343974936767	5.86312323616603	4.7692480855417	4.71211700357249	5.49017538896992	4.8713212668077	5.65811149052147	5.63864442899491	4.82733635223316	5.81417355090966	4.93619505198021	5.03790051505231	5.07630682376593	4.88626723820668	4.92710948690565	3.70279050454864	5.15783196318734	5.37964521931067	5.24980559060672	4.68390975531404	4.54583249245475	2.70502684671414	4.31940116685832	4.45980535939266	5.64968443088278
