Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
ECM-receptor interaction	17/88	1.35070276012987e-05	0.000307222848984267	17	0.193181818181818	TNXB;LAMA2;ITGB3;LAMA4;FN1;NPNT;THBS2;HSPG2;THBS1;COL6A2;COL6A1;ITGA11;COL4A6;ITGA8;COL6A3;ITGA7;FREM1
Circadian entrainment	18/97	1.36092758371514e-05	0.000307222848984267	18	0.185567010309278	GUCY1A2;GUCY1B1;ITPR1;ADCY4;PRKCA;CACNA1C;FOS;GNG12;ADCY8;GNG11;CACNA1H;ADCY5;PER1;ADCY9;PER3;GNG7;PRKG1;MAPK3
Regulation of lipolysis in adipocytes	13/55	1.44706414376647e-05	0.000307222848984267	13	0.236363636363636	IRS1;NPR1;INSR;PTGER3;NPY1R;ADCY4;IRS2;PLAAT3;ADCY8;ADCY5;ADCY9;AKT3;PRKG1
Phospholipase D signaling pathway	23/148	1.99692481092022e-05	0.000382089519140931	23	0.155405405405405	PDGFRB;PDGFRA;PTGFR;SHC2;INSR;AVPR2;GAB1;ADCY4;PRKCA;AVPR1A;GAB2;ADCY8;ADCY5;ADCY9;RRAS;LPAR6;PDGFD;AKT3;FCER1A;FYN;PLPP3;PLPP1;MAPK3
Morphine addiction	17/91	2.13994527316842e-05	0.000382089519140931	17	0.186813186813187	GABBR1;PDE1C;PDE1B;PDE1A;PDE2A;ADCY4;ARRB1;PRKCA;ADCY8;GNG12;GNG11;ADCY5;ADCY9;GRK5;GNG7;PDE7B;PDE8B
Relaxin signaling pathway	21/129	2.21501170516482e-05	0.000382089519140931	21	0.162790697674419	SHC2;JUN;ADCY4;VEGFC;PRKCA;ARRB1;VEGFD;FOS;GNG12;ADCY8;GNG11;TGFBR2;ADCY5;ACTA2;MAPK11;EDNRB;ADCY9;GNG7;AKT3;COL4A6;MAPK3
Malaria	12/50	2.60965332512449e-05	0.000423684892784917	12	0.24	SELP;CD40;VCAM1;GYPC;LRP1;PECAM1;HBB;HBA2;ACKR1;THBS2;THBS1;SELE
PI3K-Akt signaling pathway	41/354	3.12799643176908e-05	0.000479626119537926	41	0.115819209039548	CDKN1B;TNXB;LAMA2;IRS1;FLT4;ITGB3;LAMA4;THBS2;FGF2;THBS1;GHR;FGF7;CCND2;MYC;PDGFD;GNG7;AKT3;KDR;MAPK3;PDGFRB;NGFR;PDGFRA;INSR;FN1;VEGFC;PRKCA;VEGFD;GNG12;NGF;GNG11;NR4A1;LPAR6;COL6A2;ITGA11;COL6A1;IL3RA;COL4A6;ITGA8;COL6A3;ITGA7;TEK
Complement and coagulation cascades	16/85	3.3646025009764e-05	0.000488752784352362	16	0.188235294117647	CFD;C1S;F10;C1R;PROS1;PLAT;TFPI;CLU;THBD;PROCR;F8;C7;SERPING1;CD59;MASP1;A2M
Ras signaling pathway	30/232	4.75325443349234e-05	0.000655949111821943	30	0.129310344827586	SHC2;FLT4;FOXO4;RASGRP2;ETS1;FGF2;FGF7;RRAS;PDGFD;GNG7;AKT3;KDR;MAPK3;PDGFRB;NGFR;PDGFRA;INSR;PLA2G2A;GAB1;VEGFC;PRKCA;PLAAT3;VEGFD;GAB2;GNG12;NGF;GNG11;TIAM1;RASA3;TEK
Gap junction	16/88	5.23744309511499e-05	0.000688349663929399	16	0.181818181818182	PDGFRB;GUCY1A2;PDGFRA;GUCY1B1;HTR2B;ADCY4;ITPR1;PRKCA;ADCY8;ADCY5;TUBB6;ADCY9;TUBB2A;PDGFD;PRKG1;MAPK3
Growth hormone synthesis, secretion and action	19/119	7.03849118549713e-05	0.000883010712362367	19	0.159663865546218	STAT5A;STAT5B;SHC2;IRS1;ITPR1;ADCY4;IRS2;PRKCA;CACNA1C;FOS;ADCY8;ADCY5;SOCS2;GHR;MAPK11;ADCY9;AKT3;JUNB;MAPK3
Pathways in cancer	54/531	7.45290107413526e-05	0.000894348128896231	54	0.101694915254237	CDKN1B;FLT4;FGF2;ETS1;GLI3;GLI2;FGF7;EDNRA;EDNRB;CCND2;MYC;AKT3;PDGFRB;PDGFRA;PRKCA;MITF;FOS;TGFBR2;AR;ADCY9;IL3RA;COL4A6;LAMA2;EPAS1;PTGER2;LAMA4;PTGER3;ADCY4;ADCY8;RASGRP2;FOXO1;ADCY5;GNG7;RUNX1T1;WNT4;MAPK3;STAT5A;STAT5B;JUN;SMAD3;GADD45B;FZD4;FZD7;ZBTB16;FN1;VEGFC;VEGFD;GNG12;GNG11;GADD45G;HEYL;CXCL12;LPAR6;GSTM5
FoxO signaling pathway	20/131	8.75672332823905e-05	0.00100702318274749	20	0.152671755725191	GABARAPL1;SMAD3;CDKN1B;GADD45B;IRS1;INSR;SETD7;IRS2;FOXO4;SLC2A4;FBXO32;FOXO1;KLF2;GADD45G;TGFBR2;MAPK11;CCND2;AKT3;S1PR1;MAPK3
Rap1 signaling pathway	27/210	0.000122680017320875	0.00135438739122246	27	0.128571428571429	FLT4;ITGB3;ADCY4;ADCY8;RASGRP2;FGF2;THBS1;ADCY5;FGF7;RRAS;PDGFD;AKT3;KDR;MAPK3;PDGFRB;NGFR;PDGFRA;INSR;VEGFC;PRKCA;VEGFD;NGF;TIAM1;MAPK11;ADCY9;TEK;TLN1
Renin secretion	13/69	0.00017822829670266	0.00189196191884362	13	0.188405797101449	GUCY1A2;GUCY1B1;PDE1C;NPR1;PDE1B;PDE1A;PTGER2;ITPR1;CACNA1C;AQP1;ADCY5;EDNRA;KCNMA1
Oxytocin signaling pathway	21/154	0.000299835705448864	0.00306498721125505	21	0.136363636363636	GUCY1A2;MEF2C;JUN;GUCY1B1;PPP1R12A;NPR1;CACNA2D1;NPR2;ITPR1;ADCY4;PRKCA;CACNA1C;FOS;ADCY8;MYLK;ADCY5;RGS2;ADCY9;PPP1R12B;MYL9;MAPK3
Hypertrophic cardiomyopathy	14/90	0.000796363413413026	0.00784986793221411	14	0.155555555555556	LAMA2;ITGB3;CACNA2D1;TPM2;TPM1;CACNA1C;SLC8A1;SLC8A2;DES;SGCA;ITGA11;ITGA8;ITGA7;DMD
Transcriptional misregulation in cancer	23/192	0.00102175561046723	0.00940529038360602	23	0.119791666666667	NGFR;MEF2C;CD40;CDKN1B;GADD45B;ZBTB16;PBX3;PLAT;MITF;FOXO1;FLI1;PBX1;GADD45G;TGFBR2;MEIS1;CCND2;MAF;NR4A3;ZEB1;WT1;MYC;ERG;RUNX1T1
Platelet activation	17/124	0.00102231417213109	0.00940529038360602	17	0.137096774193548	GUCY1A2;GUCY1B1;PPP1R12A;ITGB3;ITPR1;ADCY4;RASGRP2;ADCY8;MYLK;ADCY5;MAPK11;ADCY9;AKT3;FYN;TLN1;PRKG1;MAPK3
Salivary secretion	14/93	0.001108391311066	0.00986825812432957	14	0.150537634408602	GUCY1A2;GUCY1B1;ADCY4;ITPR1;ATP2B4;PRKCA;ATP1B2;ADCY8;ADCY5;BST1;ADCY9;KCNMA1;PRKG1;VAMP2
GnRH secretion	11/64	0.001227534651479	0.0105874863690064	11	0.171875	GABBR1;TRPC4;TRPC1;AKT3;ITPR1;ARRB1;PRKCA;CACNA1C;KCNN3;CACNA1H;MAPK3
Adrenergic signaling in cardiomyocytes	19/150	0.00140434969425957	0.0116862746467986	19	0.126666666666667	CACNA2D1;TPM2;TPM1;ADCY4;ATP2B4;PRKCA;ATP1B2;CACNA1C;ADCY8;SLC8A1;SLC8A2;ADCY5;MAPK11;ADCY9;PLN;AKT3;SCN7A;SCN4B;MAPK3
