Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
negative regulation of cell-matrix adhesion (GO:0001953)	8/32	0.000432152926005798	0.00886832972622537	8	0.25	ACVRL1;MYOC;DLC1;FAM107A;APOD;ARHGAP6;THBS1;PHLDB2
negative regulation of nucleic acid-templated transcription (GO:1903507)	46/464	0.000435433191763055	0.00888836642233791	46	0.0991379310344828	HDAC5;CDKN1B;TSHZ3;THRA;CITED2;GATA6;TWIST2;NR3C1;ZBTB4;GLI3;FOXO1;ELK3;TCEAL7;IFI16;SOX18;NACC2;ATOH8;RUNX1T1;WNT4;JUN;RBFOX2;ZBTB38;ZBTB16;SFMBT2;NR1D2;FOXL2;NR2F2;FOXN3;KLF4;SMARCA2;FOXP2;TBX3;DKK3;TBX2;EID1;HEYL;PER1;SFRP1;ZEB1;MDFIC;WT1;CRY2;ID4;GAS6;ZFPM2;CRYAB
cell-cell junction assembly (GO:0007043)	12/66	0.000440964227830951	0.00890701565953826	12	0.181818181818182	CLDN11;GJC1;CLDN5;CNTNAP1;RAMP2;GJA4;EPB41L3;PRKCA;DCHS1;TLN1;VCL;JAM3
positive regulation of cell death (GO:0010942)	12/66	0.000440964227830951	0.00890701565953826	12	0.181818181818182	EGR1;PRNP;CDKN1B;ACOX2;LRP1;LRRK2;HBB;FYN;FOS;CLU;MAP3K5;SNCA
regulation of bone mineralization (GO:0030500)	11/57	0.000444751995972502	0.00893673541907246	11	0.192982456140351	SRGN;OSR2;MEF2C;S1PR1;TMEM119;ENPP1;ANO6;CCN1;SLC8A1;DDR2;WNT4
negative regulation of cell growth (GO:0030308)	18/126	0.000447366547196396	0.00894269502115904	18	0.142857142857143	TSPYL2;ACVRL1;SMAD3;BTG1;CDKN1B;NPR1;FHL1;SMARCA2;RERG;MAG;SFRP1;WT1;ENPP1;DACT3;SLIT3;APBB1;SLIT2;HSPA1A
negative regulation of cell junction assembly (GO:1901889)	7/25	0.000468316985440658	0.00926547143502594	7	0.28	ACVRL1;DLC1;FAM107A;APOD;ARHGAP6;THBS1;PHLDB2
negative regulation of sequestering of calcium ion (GO:0051283)	7/25	0.000468316985440658	0.00926547143502594	7	0.28	CCL21;HTR2B;ITPR1;ANXA6;CCL19;PKD2;FGF2
regulation of epithelial to mesenchymal transition (GO:0010717)	13/76	0.000479682765482939	0.00944191892465907	13	0.171052631578947	CRB2;SMAD3;TGFB1I1;TGFBR2;OLFM1;TIAM1;SFRP1;DAB2;GLIPR2;PDPN;SPRY1;PHLDB2;FERMT2
regulation of neuron death (GO:1901214)	14/86	0.000498194079842143	0.00975651147223853	14	0.162790697674419	EGR1;PRNP;MEF2C;LRRK2;FOS;TNFRSF1B;CLU;INPP5A;SNCG;FYN;CD34;CD200;MAP3K5;SNCA
