Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Inborn Errors of Metabolism	10/73	0.0012673112599159	0.0261166410361806	10	0.136986301369863	MUC1;GALE;TPI1;HGD;CA2;MYO5B;HMBS;SLC2A1;ALPL;DHCR7
mixed gliomas	10/73	0.0012673112599159	0.0261166410361806	10	0.136986301369863	TOP2A;PCNA;TFRC;MDK;CDKN2A;IDH1;STMN1;PLK1;SPP1;MKI67
Endometriosis	51/749	0.00127273337057778	0.0261343708962011	51	0.0680907877169559	FEN1;LINC00261;SLC2A1;MSI1;ENO1;AQP5;CXCL14;CDH1;MDK;CA2;DNMT3B;AMH;DIO2;MMP9;NME1;MMP12;CCNA2;CLDN4;CLDN3;PAX8;TET3;BIRC5;TNFRSF21;IDO1;DNMT1;PCNA;TACSTD2;MST1R;HSD11B2;CCNB1;MUC1;STC2;POLD1;NSD2;SPP1;EIF4EBP1;NQO1;CDKN2A;PLK1;HMGA1;CDC6;TMPRSS13;NR2F6;GRIN2D;CDK1;SDC1;F2RL1;TCF3;NECTIN4;CDKN3;NECTIN1
Cystadenocarcinoma, Serous	11/86	0.00131352811006541	0.0268757233663027	11	0.127906976744186	LAPTM4B;CLDN4;CLDN3;CA2;CCNE1;EPCAM;CHEK2;PSD4;SPP1;AMH;NME1
Malignant neoplasm of gastrointestinal tract	23/263	0.00134560001251541	0.0274339589740241	23	0.0874524714828897	NQO1;ST14;FEN1;ABCC1;MARCKSL1;CDKN2A;GDF15;BNIP3;TGFA;TYMS;AURKB;AURKA;CEACAM1;SPINT1;PTTG1;ERBB3;CDH1;CHEK2;ZIC1;SDC1;PKP3;CD24;EZH2
Low Grade Lymphoma (neoplasm)	7/39	0.00136983959495939	0.0277369341732145	7	0.179487179487179	TFRC;CDKN2A;CHEK2;RAD54L;TYMS;CDC25A;NME1
recurrent muscle twitches (symptom)	4/12	0.0013701435452993	0.0277369341732145	4	0.333333333333333	SIX1;ECT2;PROM1;CD24
Carcinosarcoma	8/50	0.00138410920164225	0.0278230232147665	8	0.16	CLDN4;CLDN3;CDKN2A;XRCC2;TACSTD2;MKI67;NME1;FOXA2
Li-Fraumeni Syndrome	8/50	0.00138410920164225	0.0278230232147665	8	0.16	RECQL4;PCNA;CDH1;CDKN2A;CHEK2;IDH1;CHEK1;IRF7
Adenocarcinoma of lung, stage I	5/20	0.00143291964922796	0.0285041551056492	5	0.25	MUC1;SLC2A1;EIF4EBP1;TYMS;AURKA
Jaundice, Obstructive	5/20	0.00143291964922796	0.0285041551056492	5	0.25	ABCC3;PCNA;UCP2;TGFA;ADM
PITUITARY DWARFISM I	5/20	0.00143291964922796	0.0285041551056492	5	0.25	PLK4;ORC1;POC1A;DNA2;TRAIP
Triangular face	11/87	0.00144533684200445	0.0285782570738935	11	0.126436781609195	MYCN;ORC6;POC1A;BUB1B;PYCR1;CDC6;ALDH18A1;TRIP13;AGPAT2;BUB1;NECTIN1
Precursor cell lymphoblastic lymphoma	9/62	0.00144662149614752	0.0285782570738935	9	0.145161290322581	SLC5A6;SLC7A5;CDT1;STIL;CDKN2A;LEF1;NFE2L3;TTK;MCM2
Immunodeficiency syndrome, variable	3/6	0.00152118445838784	0.0296424005513739	3	0.5	HELLS;DNMT3B;CDCA7
Warburton Anyane Yeboa syndrome	3/6	0.00152118445838784	0.0296424005513739	3	0.5	BUB1B;TRIP13;BUB1
Aneuploidy	3/6	0.00152118445838784	0.0296424005513739	3	0.5	KIF11;TRIP13;AURKA
Diffuse infiltrative lymphocytosis syndrome	3/6	0.00152118445838784	0.0296424005513739	3	0.5	DSP;IDH1;IDH2
Herpes Simplex Infections	37/503	0.00155011106846278	0.0301036824109264	37	0.073558648111332	DTYMK;PCNA;LEF1;SLC2A1;MSI1;TYMS;SMC4;LMNB1;PNP;EPCAM;MDK;PSD4;POLD1;PBK;EIF4EBP1;MYBL2;PROM1;MICB;COX8A;GAD1;HMGA1;KIF23;GRIN2D;CCNA2;SLC6A8;RAD51;PSAT1;FANCD2;FASN;CDK1;PSMG1;CALR;RHOV;IDO1;CDK16;CDKN3;NECTIN1
MYELODYSPLASTIC SYNDROME	47/683	0.00157232927571226	0.0303677238451565	47	0.068814055636896	GPI;DNMT1;PCNA;TFRC;LEF1;FOXM1;EVPL;RAP1GAP;AURKB;CDC20;EBP;MECOM;CDH1;CHEK2;STMN1;CHEK1;SPP1;E2F1;PRAME;MYBL2;TK1;PROM1;PLK4;COX8A;NQO1;RRM2;CDKN2A;IDH1;IDH2;NBEAL2;CDC25C;MMP9;NME1;SLC7A5;RAD51;ESPL1;FANCD2;PGP;GNAS;BIRC5;PTPN6;TRIB3;CALR;EZH2;CDKN3;MCM2;MAD2L1
Abnormality of the ribs	8/51	0.00157960930456565	0.0303677238451565	8	0.156862745098039	CDT1;SLC26A2;CDC45;ORC6;ORC1;IRF6;CDC6;P4HB
Metaplasia	8/51	0.00157960930456565	0.0303677238451565	8	0.156862745098039	CLDN4;CLDN3;CDH1;CDKN2A;GDF15;CLDN7;MKI67;MMP9
liposarcoma	14/129	0.00159087005138514	0.0304819214862391	14	0.108527131782946	TOP2A;SREBF1;CDKN2A;PLK1;MKI67;FASN;CHEK1;HMBS;ZIC1;GNAS;E2F1;SDC1;PRAME;CALR
Malignant neoplasm of stomach stage IV	7/40	0.00159852096114889	0.0305264219547399	7	0.175	NQO1;SLC6A8;BIRC5;CALR;TYMS;MMP9;NME1
Horseshoe Kidney	6/30	0.00168046108059669	0.0319845898031178	6	0.2	PORCN;FANCD2;FANCA;ESCO2;STRA6;SNRPB
Cutaneous Melanoma	25/301	0.00175077173785587	0.0332124877025705	25	0.0830564784053156	TOP2A;MCM7;CRABP1;TGFA;MKI67;AURKB;BCL2L12;CHAF1A;CDH1;E2F1;PRAME;PROM1;TMSB10;SOX4;TFAP2A;CDKN2A;IDH1;FANCA;KNSTRN;NME1;MMP12;FASN;GNAS;MCM4;EZH2
polyps	24/285	0.00178390141500658	0.0335431469922552	24	0.0842105263157895	RNF43;HGD;CDKN2A;HMGA1;LPAR2;ELP3;FZD10;MKI67;TYMS;MMP9;AURKB;NME1;AURKA;ASPM;CEACAM1;MUC1;CDH1;SPP1;GNAS;DNMT3B;E2F1;SCGB2A2;CALR;EZH2
Abnormally small eyeball	15/145	0.00178576712037665	0.0335431469922552	15	0.103448275862069	TFAP2A;PLK4;FANCA;BUB1B;HMGB3;ESCO2;RECQL4;EBP;PORCN;FRAS1;FANCD2;POMK;TRIP13;BUB1;STRA6
Decreased size of eyeball	15/145	0.00178576712037665	0.0335431469922552	15	0.103448275862069	TFAP2A;PLK4;FANCA;BUB1B;HMGB3;ESCO2;RECQL4;EBP;PORCN;FRAS1;FANCD2;POMK;TRIP13;BUB1;STRA6
Pancreatic Intraductal Papillary-Mucinous Neoplasm	5/21	0.00181348229623734	0.0339524185462214	5	0.238095238095238	MUC1;CDKN2A;GNAS;SMARCA4;EZH2
Unilateral agenesis of kidney	7/41	0.00185583150730187	0.0346321130466853	7	0.170731707317073	ASPM;STIL;FRAS1;KIF14;WDR62;KNL1;MFSD2A
Carcinoma, Small Cell	13/117	0.00186360674394148	0.0346642955715608	13	0.111111111111111	FOXA1;PIGR;CDKN2A;TMPRSS2;TYMS;SMARCA4;AURKA;ERBB3;CHEK1;DNMT3B;BIRC5;CD24;FOXA2
