Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
DNA-dependent DNA replication (GO:0006261)	18/129	1.35667783367858e-05	0.00101498432347535	18	0.13953488372093	GINS1;CDT1;GINS2;MCM7;GINS4;HMGA1;CDC7;MCM10;CDC6;RECQL4;ORC6;CDC45;RAD51;ORC1;POLD1;MCM4;DNA2;MCM2
mitotic chromosome condensation (GO:0007076)	8/27	1.39661802285627e-05	0.00102111822262014	8	0.296296296296296	CCNB1;CDCA5;PLK1;CDK1;NCAPG;NCAPD2;SMC4;NCAPH
positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)	7/20	1.42836987938273e-05	0.00102112575599427	7	0.35	CCNB1;RCC2;CDK1;CDC7;CDC25C;DTL;CDC25A
mitotic spindle assembly (GO:0090307)	10/44	1.59275308963457e-05	0.00109089718271696	10	0.227272727272727	TPX2;RACGAP1;KIFC2;KIFC1;CHEK2;KIF4A;KIF23;KIF11;MISP;AURKB
regulation of cytokinesis (GO:0032465)	14/84	1.59378823710591e-05	0.00109089718271696	14	0.166666666666667	PLK4;PLK1;KIF14;KIF23;CDC6;AURKB;AURKA;RACGAP1;CHMP4C;KIF20A;ECT2;E2F7;RAB11FIP4;E2F8
kinetochore assembly (GO:0051382)	5/9	1.74278094288195e-05	0.00116802631109401	5	0.555555555555556	CENPE;CENPF;CENPW;CENPA;DLGAP5
negative regulation of cell cycle process (GO:0010948)	12/64	1.87668011622909e-05	0.00123209794569571	12	0.1875	RRM2;RAD51;ESPL1;CHEK1;CHMP4C;E2F1;NEK2;CDC7;AURKB;E2F7;E2F8;EZH2
regulation of protein serine/threonine kinase activity (GO:0071900)	16/111	2.67917947001092e-05	0.00172378407100503	16	0.144144144144144	CCNF;CDC6;CDC25C;PKMYT1;MACROH2A1;CDC25A;CCNA2;CCNB2;CCNA1;CCNB1;CCNE1;INCENP;TRIB3;CCNO;EZH2;CDKN3
regulation of mitotic cell cycle phase transition (GO:1901990)	22/188	2.74357675435272e-05	0.00173060518014759	22	0.117021276595745	PLK4;UBE2C;NEK6;PLK1;KIF14;BUB1B;HMMR;CDC6;TUBG1;AURKA;CDC20;ANLN;TPX2;CENPE;CCNB1;CENPF;UBE2S;CDK1;E2F1;NEK2;PTPN6;MAD2L1
positive regulation of mitotic cell cycle phase transition (GO:1901992)	11/58	3.72311435801535e-05	0.0023033190172568	11	0.189655172413793	CCNB1;ESPL1;UBE2C;CDCA5;RCC2;CDK1;CDC7;CDC25C;DTL;DLGAP5;CDC25A
